node,community
APP_134-nonprod,44
APP_135-prod,28
APP_135-nonprod,30
APP_136-prod,62
APP_136-nonprod,17
APP_137-prod,12
APP_137-nonprod,22
APP_138-prod,8
APP_138-nonprod,63
APP_139-prod,28
APP_139-nonprod,23
APP_140-prod,63
APP_140-nonprod,35
APP_141-prod,52
APP_141-nonprod,22
APP_142-prod,43
APP_142-nonprod,72
APP_143-prod,15
APP_143-nonprod,45
APP_144-prod,30
APP_144-nonprod,5
APP_145-prod,58
APP_145-nonprod,9
APP_146-prod,34
APP_146-nonprod,32
APP_147-prod,15
APP_147-nonprod,10
APP_148-prod,15
APP_148-nonprod,18
APP_149-prod,85
APP_149-nonprod,11
APP_150-prod,12
APP_150-nonprod,75
APP_151-prod,49
APP_151-nonprod,45
APP_152-prod,11
APP_152-nonprod,18
APP_153-prod,86
APP_153-nonprod,79
APP_154-prod,56
APP_154-nonprod,42
APP_155-prod,12
APP_155-nonprod,53
APP_156-prod,26
APP_156-nonprod,70
APP_157-prod,78
APP_157-nonprod,24
APP_158-prod,19
APP_158-nonprod,42
APP_159-prod,4
APP_159-nonprod,46
APP_160-prod,4
APP_160-nonprod,53
APP_161-prod,73
APP_161-nonprod,3
APP_162-prod,61
APP_162-nonprod,38
APP_163-prod,53
APP_163-nonprod,61
APP_164-prod,72
APP_164-nonprod,40
APP_165-prod,55
APP_165-nonprod,23
APP_166-prod,21
APP_166-nonprod,35
APP_167-prod,15
APP_167-nonprod,21
APP_168-prod,42
APP_168-nonprod,67
APP_169-prod,0
APP_169-nonprod,12
APP_170-prod,11
APP_170-nonprod,65
APP_171-prod,54
APP_171-nonprod,36
APP_172-prod,72
APP_172-nonprod,34
APP_173-prod,72
APP_173-nonprod,32
APP_174-prod,25
APP_174-nonprod,1
APP_175-prod,2
APP_175-nonprod,60
APP_176-prod,29
APP_176-nonprod,75
APP_177-prod,87
APP_177-nonprod,22
APP_178-prod,55
APP_178-nonprod,32
APP_179-prod,59
APP_179-nonprod,20
APP_180-prod,42
APP_180-nonprod,67
APP_181-prod,84
APP_181-nonprod,62
APP_182-prod,29
APP_182-nonprod,17
APP_183-prod,19
APP_183-nonprod,5
APP_184-prod,67
APP_184-nonprod,29
APP_185-prod,88
APP_185-nonprod,60
APP_186-prod,38
APP_186-nonprod,0
APP_187-prod,82
APP_187-nonprod,72
APP_188-prod,49
APP_188-nonprod,56
APP_189-prod,51
APP_189-nonprod,7
APP_190-prod,0
APP_190-nonprod,6
APP_191-prod,51
APP_191-nonprod,8
APP_192-prod,46
APP_192-nonprod,42
APP_193-prod,71
APP_193-nonprod,72
APP_194-prod,59
APP_194-nonprod,70
APP_195-prod,8
APP_195-nonprod,21
APP_196-prod,54
APP_196-nonprod,10
APP_197-prod,29
APP_197-nonprod,75
APP_198-prod,29
APP_198-nonprod,56
APP_199-prod,85
APP_199-nonprod,63
APP_200-prod,39
APP_200-nonprod,38
APP_201-prod,85
APP_201-nonprod,20
APP_202-prod,25
APP_202-nonprod,20
APP_203-prod,25
APP_203-nonprod,27
APP_204-prod,14
APP_204-nonprod,9
APP_205-prod,13
APP_205-nonprod,72
APP_206-prod,46
APP_206-nonprod,36
APP_207-prod,56
APP_207-nonprod,1
APP_208-prod,71
APP_208-nonprod,31
APP_209-prod,2
APP_209-nonprod,30
APP_210-prod,48
APP_210-nonprod,36
APP_211-prod,71
APP_211-nonprod,62
APP_212-prod,63
APP_212-nonprod,3
APP_213-prod,30
APP_213-nonprod,60
APP_214-prod,14
APP_214-nonprod,40
APP_215-prod,82
APP_215-nonprod,34
APP_216-prod,65
APP_216-nonprod,52
APP_217-prod,52
APP_217-nonprod,67
APP_218-prod,34
APP_218-nonprod,20
APP_219-prod,13
APP_219-nonprod,59
APP_220-prod,82
APP_220-nonprod,70
APP_221-prod,89
APP_221-nonprod,52
APP_222-prod,27
APP_222-nonprod,78
APP_223-prod,85
APP_223-nonprod,84
APP_224-prod,4
APP_224-nonprod,6
APP_225-prod,55
APP_225-nonprod,20
APP_226-prod,13
APP_226-nonprod,53
APP_227-prod,27
APP_227-nonprod,26
APP_228-prod,48
APP_228-nonprod,6
APP_229-prod,40
APP_229-nonprod,26
APP_230-prod,23
APP_230-nonprod,10
APP_231-prod,29
APP_231-nonprod,16
APP_232-prod,25
APP_232-nonprod,58
APP_233-prod,82
APP_233-nonprod,67
APP_234-prod,42
APP_234-nonprod,67
APP_235-prod,12
APP_235-nonprod,19
APP_236-prod,13
APP_236-nonprod,17
APP_237-prod,52
APP_237-nonprod,6
APP_238-prod,71
APP_238-nonprod,18
APP_239-prod,27
APP_239-nonprod,62
APP_240-prod,52
APP_240-nonprod,2
APP_241-prod,12
APP_241-nonprod,62
APP_242-prod,52
APP_242-nonprod,46
APP_243-prod,12
APP_243-nonprod,22
APP_244-prod,0
APP_244-nonprod,78
APP_245-prod,4
APP_245-nonprod,6
APP_246-prod,52
APP_246-nonprod,21
APP_247-prod,12
APP_247-nonprod,70
APP_248-prod,10
APP_248-nonprod,21
APP_249-prod,84
APP_249-nonprod,14
APP_250-prod,16
APP_250-nonprod,62
APP_251-prod,0
APP_251-nonprod,8
APP_252-prod,65
APP_252-nonprod,70
APP_253-prod,29
APP_253-nonprod,8
APP_254-prod,22
APP_254-nonprod,79
APP_255-prod,51
APP_255-nonprod,44
APP_256-prod,14
APP_256-nonprod,75
APP_257-prod,16
APP_257-nonprod,79
APP_258-prod,48
APP_258-nonprod,40
APP_259-prod,62
APP_259-nonprod,40
APP_260-prod,10
APP_260-nonprod,19
APP_261-prod,0
APP_261-nonprod,28
APP_262-prod,85
APP_262-nonprod,2
APP_263-prod,71
APP_263-nonprod,5
APP_264-prod,49
APP_264-nonprod,54
APP_265-prod,49
APP_265-nonprod,21
APP_266-prod,42
APP_266-nonprod,12
APP_267-prod,85
APP_267-nonprod,55
APP_268-prod,10
APP_268-nonprod,51
APP_269-prod,90
APP_269-nonprod,60
APP_270-prod,54
APP_270-nonprod,36
APP_271-prod,28
APP_271-nonprod,20
APP_272-prod,61
APP_272-nonprod,16
APP_273-prod,91
APP_273-nonprod,17
APP_274-prod,27
APP_274-nonprod,55
APP_275-prod,29
APP_275-nonprod,78
APP_276-prod,51
APP_276-nonprod,31
APP_277-prod,84
APP_277-nonprod,24
APP_278-prod,62
APP_278-nonprod,79
APP_279-prod,59
APP_279-nonprod,62
APP_280-prod,26
APP_280-nonprod,53
APP_281-prod,27
APP_281-nonprod,20
APP_282-prod,2
APP_282-nonprod,44
APP_283-prod,46
APP_283-nonprod,17
APP_284-prod,92
APP_284-nonprod,23
APP_285-prod,48
APP_285-nonprod,62
APP_286-prod,51
APP_286-nonprod,5
APP_287-prod,46
APP_287-nonprod,67
APP_288-prod,12
APP_288-nonprod,30
APP_289-prod,53
APP_289-nonprod,20
APP_290-prod,9
APP_290-nonprod,9
APP_291-prod,50
APP_291-nonprod,56
APP_292-prod,56
APP_292-nonprod,82
APP_293-prod,61
APP_293-nonprod,42
APP_294-prod,54
APP_294-nonprod,1
APP_295-prod,18
APP_295-nonprod,70
APP_296-prod,15
APP_296-nonprod,67
APP_297-prod,42
APP_297-nonprod,60
APP_298-prod,17
APP_298-nonprod,1
APP_299-prod,87
APP_299-nonprod,43
APP_300-prod,38
APP_300-nonprod,12
