app_instance_id,base_app_id,env,app_type,RTO_hours,RPO_minutes,financial_impact_k_per_hour,regulatory,customer_impact,BCP_score,BCP_tier,BCP_rationale
APP_006-prod,APP_006,prod,frontend,16.67,406,557.98,False,5,6.2,Business Operational,"RTO=16.67h, RPO=406m, $impact=557.98k/hr, regulatory=False, customer_impact=5 -> BCP 6.2 (Business Operational)"
APP_006-nonprod,APP_006,nonprod,frontend,13.98,1058,0.45,False,5,4.77,Business Operational,"RTO=13.98h, RPO=1058m, $impact=0.45k/hr, regulatory=False, customer_impact=5 -> BCP 4.77 (Business Operational)"
APP_007-prod,APP_007,prod,frontend,46.8,815,54.76,False,6,5.47,Business Operational,"RTO=46.8h, RPO=815m, $impact=54.76k/hr, regulatory=False, customer_impact=6 -> BCP 5.47 (Business Operational)"
APP_007-nonprod,APP_007,nonprod,frontend,18.03,75,1.83,False,2,4.79,Business Operational,"RTO=18.03h, RPO=75m, $impact=1.83k/hr, regulatory=False, customer_impact=2 -> BCP 4.79 (Business Operational)"
APP_008-prod,APP_008,prod,frontend,68.0,1265,1.81,False,2,4.05,Non-Critical,"RTO=68.0h, RPO=1265m, $impact=1.81k/hr, regulatory=False, customer_impact=2 -> BCP 4.05 (Non-Critical)"
APP_008-nonprod,APP_008,nonprod,frontend,66.02,676,1.15,False,4,4.41,Non-Critical,"RTO=66.02h, RPO=676m, $impact=1.15k/hr, regulatory=False, customer_impact=4 -> BCP 4.41 (Non-Critical)"
APP_009-prod,APP_009,prod,frontend,20.39,854,390.2,False,3,5.64,Business Operational,"RTO=20.39h, RPO=854m, $impact=390.2k/hr, regulatory=False, customer_impact=3 -> BCP 5.64 (Business Operational)"
APP_009-nonprod,APP_009,nonprod,frontend,71.83,748,0.23,True,6,4.69,Business Operational,"RTO=71.83h, RPO=748m, $impact=0.23k/hr, regulatory=True, customer_impact=6 -> BCP 4.69 (Business Operational)"
APP_010-prod,APP_010,prod,frontend,45.92,1146,4.88,True,4,4.76,Business Operational,"RTO=45.92h, RPO=1146m, $impact=4.88k/hr, regulatory=True, customer_impact=4 -> BCP 4.76 (Business Operational)"
APP_010-nonprod,APP_010,nonprod,frontend,71.73,776,766.15,False,3,5.49,Business Operational,"RTO=71.73h, RPO=776m, $impact=766.15k/hr, regulatory=False, customer_impact=3 -> BCP 5.49 (Business Operational)"
APP_011-prod,APP_011,prod,frontend,1.51,20,14.06,False,8,6.54,Business Critical,"RTO=1.51h, RPO=20m, $impact=14.06k/hr, regulatory=False, customer_impact=8 -> BCP 6.54 (Business Critical)"
APP_011-nonprod,APP_011,nonprod,frontend,9.81,643,6.53,False,5,5.3,Business Operational,"RTO=9.81h, RPO=643m, $impact=6.53k/hr, regulatory=False, customer_impact=5 -> BCP 5.3 (Business Operational)"
APP_012-prod,APP_012,prod,frontend,20.44,735,0.52,False,6,4.91,Business Operational,"RTO=20.44h, RPO=735m, $impact=0.52k/hr, regulatory=False, customer_impact=6 -> BCP 4.91 (Business Operational)"
APP_012-nonprod,APP_012,nonprod,frontend,22.89,930,27.28,False,3,5.02,Business Operational,"RTO=22.89h, RPO=930m, $impact=27.28k/hr, regulatory=False, customer_impact=3 -> BCP 5.02 (Business Operational)"
APP_013-prod,APP_013,prod,frontend,39.76,1127,13.23,True,4,4.99,Business Operational,"RTO=39.76h, RPO=1127m, $impact=13.23k/hr, regulatory=True, customer_impact=4 -> BCP 4.99 (Business Operational)"
APP_013-nonprod,APP_013,nonprod,frontend,3.36,1340,327.26,False,6,6.36,Business Operational,"RTO=3.36h, RPO=1340m, $impact=327.26k/hr, regulatory=False, customer_impact=6 -> BCP 6.36 (Business Operational)"
APP_014-prod,APP_014,prod,frontend,6.05,1267,613.48,True,3,6.07,Business Operational,"RTO=6.05h, RPO=1267m, $impact=613.48k/hr, regulatory=True, customer_impact=3 -> BCP 6.07 (Business Operational)"
APP_014-nonprod,APP_014,nonprod,frontend,6.84,1102,115.7,True,6,6.16,Business Operational,"RTO=6.84h, RPO=1102m, $impact=115.7k/hr, regulatory=True, customer_impact=6 -> BCP 6.16 (Business Operational)"
APP_015-prod,APP_015,prod,frontend,40.49,403,308.84,False,4,5.71,Business Operational,"RTO=40.49h, RPO=403m, $impact=308.84k/hr, regulatory=False, customer_impact=4 -> BCP 5.71 (Business Operational)"
APP_015-nonprod,APP_015,nonprod,frontend,39.75,1059,0.64,False,5,4.55,Business Operational,"RTO=39.75h, RPO=1059m, $impact=0.64k/hr, regulatory=False, customer_impact=5 -> BCP 4.55 (Business Operational)"
APP_016-prod,APP_016,prod,frontend,47.49,647,11.76,True,4,5.02,Business Operational,"RTO=47.49h, RPO=647m, $impact=11.76k/hr, regulatory=True, customer_impact=4 -> BCP 5.02 (Business Operational)"
APP_016-nonprod,APP_016,nonprod,frontend,25.67,859,0.83,False,9,5.31,Business Operational,"RTO=25.67h, RPO=859m, $impact=0.83k/hr, regulatory=False, customer_impact=9 -> BCP 5.31 (Business Operational)"
APP_017-prod,APP_017,prod,frontend,1.35,6,418.49,False,5,6.81,Business Critical,"RTO=1.35h, RPO=6m, $impact=418.49k/hr, regulatory=False, customer_impact=5 -> BCP 6.81 (Business Critical)"
APP_017-nonprod,APP_017,nonprod,frontend,0.67,20,0.72,True,3,5.45,Business Operational,"RTO=0.67h, RPO=20m, $impact=0.72k/hr, regulatory=True, customer_impact=3 -> BCP 5.45 (Business Operational)"
APP_018-prod,APP_018,prod,frontend,41.97,696,137.56,False,7,5.87,Business Operational,"RTO=41.97h, RPO=696m, $impact=137.56k/hr, regulatory=False, customer_impact=7 -> BCP 5.87 (Business Operational)"
APP_018-nonprod,APP_018,nonprod,frontend,8.79,637,4.95,False,3,4.98,Business Operational,"RTO=8.79h, RPO=637m, $impact=4.95k/hr, regulatory=False, customer_impact=3 -> BCP 4.98 (Business Operational)"
APP_019-prod,APP_019,prod,frontend,49.14,1417,0.25,False,6,4.53,Business Operational,"RTO=49.14h, RPO=1417m, $impact=0.25k/hr, regulatory=False, customer_impact=6 -> BCP 4.53 (Business Operational)"
APP_019-nonprod,APP_019,nonprod,frontend,62.32,380,0.58,False,2,4.16,Non-Critical,"RTO=62.32h, RPO=380m, $impact=0.58k/hr, regulatory=False, customer_impact=2 -> BCP 4.16 (Non-Critical)"
APP_020-prod,APP_020,prod,frontend,21.5,382,493.24,False,3,5.82,Business Operational,"RTO=21.5h, RPO=382m, $impact=493.24k/hr, regulatory=False, customer_impact=3 -> BCP 5.82 (Business Operational)"
APP_020-nonprod,APP_020,nonprod,frontend,40.52,101,993.41,False,6,6.47,Business Operational,"RTO=40.52h, RPO=101m, $impact=993.41k/hr, regulatory=False, customer_impact=6 -> BCP 6.47 (Business Operational)"
APP_021-prod,APP_021,prod,frontend,66.85,1226,0.46,False,7,4.66,Business Operational,"RTO=66.85h, RPO=1226m, $impact=0.46k/hr, regulatory=False, customer_impact=7 -> BCP 4.66 (Business Operational)"
APP_021-nonprod,APP_021,nonprod,frontend,30.07,112,3.28,False,6,5.35,Business Operational,"RTO=30.07h, RPO=112m, $impact=3.28k/hr, regulatory=False, customer_impact=6 -> BCP 5.35 (Business Operational)"
APP_022-prod,APP_022,prod,frontend,56.88,671,4.92,False,5,4.82,Business Operational,"RTO=56.88h, RPO=671m, $impact=4.92k/hr, regulatory=False, customer_impact=5 -> BCP 4.82 (Business Operational)"
APP_022-nonprod,APP_022,nonprod,frontend,40.9,1042,0.42,False,5,4.51,Business Operational,"RTO=40.9h, RPO=1042m, $impact=0.42k/hr, regulatory=False, customer_impact=5 -> BCP 4.51 (Business Operational)"
APP_023-prod,APP_023,prod,frontend,42.54,794,98.15,True,3,5.31,Business Operational,"RTO=42.54h, RPO=794m, $impact=98.15k/hr, regulatory=True, customer_impact=3 -> BCP 5.31 (Business Operational)"
APP_023-nonprod,APP_023,nonprod,frontend,37.2,1232,0.43,False,4,4.35,Non-Critical,"RTO=37.2h, RPO=1232m, $impact=0.43k/hr, regulatory=False, customer_impact=4 -> BCP 4.35 (Non-Critical)"
APP_024-prod,APP_024,prod,frontend,0.58,17,50.22,False,5,6.35,Business Operational,"RTO=0.58h, RPO=17m, $impact=50.22k/hr, regulatory=False, customer_impact=5 -> BCP 6.35 (Business Operational)"
APP_024-nonprod,APP_024,nonprod,frontend,64.32,377,23.88,False,8,5.66,Business Operational,"RTO=64.32h, RPO=377m, $impact=23.88k/hr, regulatory=False, customer_impact=8 -> BCP 5.66 (Business Operational)"
APP_025-prod,APP_025,prod,frontend,42.86,767,548.06,False,6,6.0,Business Operational,"RTO=42.86h, RPO=767m, $impact=548.06k/hr, regulatory=False, customer_impact=6 -> BCP 6.0 (Business Operational)"
APP_025-nonprod,APP_025,nonprod,frontend,18.71,588,48.61,False,2,5.13,Business Operational,"RTO=18.71h, RPO=588m, $impact=48.61k/hr, regulatory=False, customer_impact=2 -> BCP 5.13 (Business Operational)"
APP_026-prod,APP_026,prod,frontend,54.63,132,6.81,False,6,5.31,Business Operational,"RTO=54.63h, RPO=132m, $impact=6.81k/hr, regulatory=False, customer_impact=6 -> BCP 5.31 (Business Operational)"
APP_026-nonprod,APP_026,nonprod,frontend,7.13,330,1.15,False,5,5.22,Business Operational,"RTO=7.13h, RPO=330m, $impact=1.15k/hr, regulatory=False, customer_impact=5 -> BCP 5.22 (Business Operational)"
APP_027-prod,APP_027,prod,frontend,63.55,551,0.43,False,4,4.37,Non-Critical,"RTO=63.55h, RPO=551m, $impact=0.43k/hr, regulatory=False, customer_impact=4 -> BCP 4.37 (Non-Critical)"
APP_027-nonprod,APP_027,nonprod,frontend,44.82,1421,41.3,True,7,5.6,Business Operational,"RTO=44.82h, RPO=1421m, $impact=41.3k/hr, regulatory=True, customer_impact=7 -> BCP 5.6 (Business Operational)"
APP_028-prod,APP_028,prod,frontend,22.96,965,569.8,True,8,6.55,Business Critical,"RTO=22.96h, RPO=965m, $impact=569.8k/hr, regulatory=True, customer_impact=8 -> BCP 6.55 (Business Critical)"
APP_028-nonprod,APP_028,nonprod,frontend,9.49,810,1.23,False,7,5.3,Business Operational,"RTO=9.49h, RPO=810m, $impact=1.23k/hr, regulatory=False, customer_impact=7 -> BCP 5.3 (Business Operational)"
APP_029-prod,APP_029,prod,frontend,16.25,924,1.14,False,4,4.69,Business Operational,"RTO=16.25h, RPO=924m, $impact=1.14k/hr, regulatory=False, customer_impact=4 -> BCP 4.69 (Business Operational)"
APP_029-nonprod,APP_029,nonprod,frontend,61.23,160,4.95,False,5,5.04,Business Operational,"RTO=61.23h, RPO=160m, $impact=4.95k/hr, regulatory=False, customer_impact=5 -> BCP 5.04 (Business Operational)"
APP_030-prod,APP_030,prod,frontend,1.6,19,1.12,False,6,5.81,Business Operational,"RTO=1.6h, RPO=19m, $impact=1.12k/hr, regulatory=False, customer_impact=6 -> BCP 5.81 (Business Operational)"
APP_030-nonprod,APP_030,nonprod,frontend,31.94,43,0.2,False,7,5.22,Business Operational,"RTO=31.94h, RPO=43m, $impact=0.2k/hr, regulatory=False, customer_impact=7 -> BCP 5.22 (Business Operational)"
APP_031-prod,APP_031,prod,frontend,40.19,1206,21.38,True,5,5.22,Business Operational,"RTO=40.19h, RPO=1206m, $impact=21.38k/hr, regulatory=True, customer_impact=5 -> BCP 5.22 (Business Operational)"
APP_031-nonprod,APP_031,nonprod,frontend,23.58,1297,152.93,False,5,5.62,Business Operational,"RTO=23.58h, RPO=1297m, $impact=152.93k/hr, regulatory=False, customer_impact=5 -> BCP 5.62 (Business Operational)"
APP_032-prod,APP_032,prod,frontend,16.71,381,0.26,False,3,4.58,Business Operational,"RTO=16.71h, RPO=381m, $impact=0.26k/hr, regulatory=False, customer_impact=3 -> BCP 4.58 (Business Operational)"
APP_032-nonprod,APP_032,nonprod,frontend,30.45,905,0.42,False,3,4.31,Non-Critical,"RTO=30.45h, RPO=905m, $impact=0.42k/hr, regulatory=False, customer_impact=3 -> BCP 4.31 (Non-Critical)"
APP_033-prod,APP_033,prod,frontend,70.33,1173,335.48,True,7,5.98,Business Operational,"RTO=70.33h, RPO=1173m, $impact=335.48k/hr, regulatory=True, customer_impact=7 -> BCP 5.98 (Business Operational)"
APP_033-nonprod,APP_033,nonprod,frontend,25.25,1342,161.79,False,8,6.06,Business Operational,"RTO=25.25h, RPO=1342m, $impact=161.79k/hr, regulatory=False, customer_impact=8 -> BCP 6.06 (Business Operational)"
APP_034-prod,APP_034,prod,frontend,20.68,1140,0.27,False,5,4.63,Business Operational,"RTO=20.68h, RPO=1140m, $impact=0.27k/hr, regulatory=False, customer_impact=5 -> BCP 4.63 (Business Operational)"
APP_034-nonprod,APP_034,nonprod,frontend,17.57,1181,6.94,False,8,5.51,Business Operational,"RTO=17.57h, RPO=1181m, $impact=6.94k/hr, regulatory=False, customer_impact=8 -> BCP 5.51 (Business Operational)"
APP_035-prod,APP_035,prod,frontend,17.93,63,0.59,False,6,5.27,Business Operational,"RTO=17.93h, RPO=63m, $impact=0.59k/hr, regulatory=False, customer_impact=6 -> BCP 5.27 (Business Operational)"
APP_035-nonprod,APP_035,nonprod,frontend,69.68,423,36.81,False,4,5.11,Business Operational,"RTO=69.68h, RPO=423m, $impact=36.81k/hr, regulatory=False, customer_impact=4 -> BCP 5.11 (Business Operational)"
APP_036-prod,APP_036,prod,frontend,39.54,1354,0.29,False,6,4.6,Business Operational,"RTO=39.54h, RPO=1354m, $impact=0.29k/hr, regulatory=False, customer_impact=6 -> BCP 4.6 (Business Operational)"
APP_036-nonprod,APP_036,nonprod,frontend,69.38,404,0.27,False,9,5.13,Business Operational,"RTO=69.38h, RPO=404m, $impact=0.27k/hr, regulatory=False, customer_impact=9 -> BCP 5.13 (Business Operational)"
APP_037-prod,APP_037,prod,frontend,23.96,884,11.11,False,5,5.14,Business Operational,"RTO=23.96h, RPO=884m, $impact=11.11k/hr, regulatory=False, customer_impact=5 -> BCP 5.14 (Business Operational)"
APP_037-nonprod,APP_037,nonprod,frontend,19.83,1029,0.1,False,9,5.23,Business Operational,"RTO=19.83h, RPO=1029m, $impact=0.1k/hr, regulatory=False, customer_impact=9 -> BCP 5.23 (Business Operational)"
APP_038-prod,APP_038,prod,frontend,52.36,1076,48.14,False,1,4.61,Business Operational,"RTO=52.36h, RPO=1076m, $impact=48.14k/hr, regulatory=False, customer_impact=1 -> BCP 4.61 (Business Operational)"
APP_038-nonprod,APP_038,nonprod,frontend,1.41,9,1.8,False,7,6.02,Business Operational,"RTO=1.41h, RPO=9m, $impact=1.8k/hr, regulatory=False, customer_impact=7 -> BCP 6.02 (Business Operational)"
APP_039-prod,APP_039,prod,frontend,23.02,466,4.3,False,6,5.23,Business Operational,"RTO=23.02h, RPO=466m, $impact=4.3k/hr, regulatory=False, customer_impact=6 -> BCP 5.23 (Business Operational)"
APP_039-nonprod,APP_039,nonprod,frontend,10.91,622,577.37,False,5,6.23,Business Operational,"RTO=10.91h, RPO=622m, $impact=577.37k/hr, regulatory=False, customer_impact=5 -> BCP 6.23 (Business Operational)"
APP_040-prod,APP_040,prod,frontend,45.09,454,15.55,True,6,5.46,Business Operational,"RTO=45.09h, RPO=454m, $impact=15.55k/hr, regulatory=True, customer_impact=6 -> BCP 5.46 (Business Operational)"
APP_040-nonprod,APP_040,nonprod,frontend,32.09,847,41.57,False,2,4.9,Business Operational,"RTO=32.09h, RPO=847m, $impact=41.57k/hr, regulatory=False, customer_impact=2 -> BCP 4.9 (Business Operational)"
APP_041-prod,APP_041,prod,frontend,16.96,697,402.46,False,5,6.02,Business Operational,"RTO=16.96h, RPO=697m, $impact=402.46k/hr, regulatory=False, customer_impact=5 -> BCP 6.02 (Business Operational)"
APP_041-nonprod,APP_041,nonprod,frontend,7.94,756,34.02,False,6,5.8,Business Operational,"RTO=7.94h, RPO=756m, $impact=34.02k/hr, regulatory=False, customer_impact=6 -> BCP 5.8 (Business Operational)"
APP_042-prod,APP_042,prod,frontend,54.58,978,0.79,False,8,4.95,Business Operational,"RTO=54.58h, RPO=978m, $impact=0.79k/hr, regulatory=False, customer_impact=8 -> BCP 4.95 (Business Operational)"
APP_042-nonprod,APP_042,nonprod,frontend,0.68,14,250.58,True,4,6.69,Business Critical,"RTO=0.68h, RPO=14m, $impact=250.58k/hr, regulatory=True, customer_impact=4 -> BCP 6.69 (Business Critical)"
APP_043-prod,APP_043,prod,frontend,46.08,304,61.01,False,4,5.37,Business Operational,"RTO=46.08h, RPO=304m, $impact=61.01k/hr, regulatory=False, customer_impact=4 -> BCP 5.37 (Business Operational)"
APP_043-nonprod,APP_043,nonprod,frontend,47.92,37,100.89,False,4,5.63,Business Operational,"RTO=47.92h, RPO=37m, $impact=100.89k/hr, regulatory=False, customer_impact=4 -> BCP 5.63 (Business Operational)"
APP_044-prod,APP_044,prod,frontend,31.76,278,678.99,False,7,6.45,Business Operational,"RTO=31.76h, RPO=278m, $impact=678.99k/hr, regulatory=False, customer_impact=7 -> BCP 6.45 (Business Operational)"
APP_044-nonprod,APP_044,nonprod,frontend,0.69,25,6.7,False,6,6.09,Business Operational,"RTO=0.69h, RPO=25m, $impact=6.7k/hr, regulatory=False, customer_impact=6 -> BCP 6.09 (Business Operational)"
APP_045-prod,APP_045,prod,frontend,71.15,869,631.19,False,4,5.58,Business Operational,"RTO=71.15h, RPO=869m, $impact=631.19k/hr, regulatory=False, customer_impact=4 -> BCP 5.58 (Business Operational)"
APP_045-nonprod,APP_045,nonprod,frontend,52.35,741,210.03,False,7,5.9,Business Operational,"RTO=52.35h, RPO=741m, $impact=210.03k/hr, regulatory=False, customer_impact=7 -> BCP 5.9 (Business Operational)"
APP_046-prod,APP_046,prod,frontend,54.06,699,1.09,False,6,4.75,Business Operational,"RTO=54.06h, RPO=699m, $impact=1.09k/hr, regulatory=False, customer_impact=6 -> BCP 4.75 (Business Operational)"
APP_046-nonprod,APP_046,nonprod,frontend,55.61,765,32.14,False,7,5.48,Business Operational,"RTO=55.61h, RPO=765m, $impact=32.14k/hr, regulatory=False, customer_impact=7 -> BCP 5.48 (Business Operational)"
APP_047-prod,APP_047,prod,frontend,0.75,8,1.9,False,4,5.58,Business Operational,"RTO=0.75h, RPO=8m, $impact=1.9k/hr, regulatory=False, customer_impact=4 -> BCP 5.58 (Business Operational)"
APP_047-nonprod,APP_047,nonprod,frontend,18.19,1008,66.94,True,5,5.69,Business Operational,"RTO=18.19h, RPO=1008m, $impact=66.94k/hr, regulatory=True, customer_impact=5 -> BCP 5.69 (Business Operational)"
APP_048-prod,APP_048,prod,frontend,39.98,616,0.67,False,5,4.65,Business Operational,"RTO=39.98h, RPO=616m, $impact=0.67k/hr, regulatory=False, customer_impact=5 -> BCP 4.65 (Business Operational)"
APP_048-nonprod,APP_048,nonprod,frontend,42.89,1010,267.26,False,3,5.34,Business Operational,"RTO=42.89h, RPO=1010m, $impact=267.26k/hr, regulatory=False, customer_impact=3 -> BCP 5.34 (Business Operational)"
APP_049-prod,APP_049,prod,frontend,2.41,525,103.25,False,6,6.35,Business Operational,"RTO=2.41h, RPO=525m, $impact=103.25k/hr, regulatory=False, customer_impact=6 -> BCP 6.35 (Business Operational)"
APP_049-nonprod,APP_049,nonprod,frontend,31.33,1083,15.29,False,6,5.25,Business Operational,"RTO=31.33h, RPO=1083m, $impact=15.29k/hr, regulatory=False, customer_impact=6 -> BCP 5.25 (Business Operational)"
APP_050-prod,APP_050,prod,frontend,17.36,644,0.13,False,6,4.91,Business Operational,"RTO=17.36h, RPO=644m, $impact=0.13k/hr, regulatory=False, customer_impact=6 -> BCP 4.91 (Business Operational)"
APP_050-nonprod,APP_050,nonprod,frontend,30.3,262,7.41,True,5,5.35,Business Operational,"RTO=30.3h, RPO=262m, $impact=7.41k/hr, regulatory=True, customer_impact=5 -> BCP 5.35 (Business Operational)"
APP_051-prod,APP_051,prod,frontend,3.89,585,18.1,True,3,5.55,Business Operational,"RTO=3.89h, RPO=585m, $impact=18.1k/hr, regulatory=True, customer_impact=3 -> BCP 5.55 (Business Operational)"
APP_051-nonprod,APP_051,nonprod,frontend,11.5,680,0.16,False,5,4.85,Business Operational,"RTO=11.5h, RPO=680m, $impact=0.16k/hr, regulatory=False, customer_impact=5 -> BCP 4.85 (Business Operational)"
APP_052-prod,APP_052,prod,frontend,24.88,1103,3.28,False,5,4.86,Business Operational,"RTO=24.88h, RPO=1103m, $impact=3.28k/hr, regulatory=False, customer_impact=5 -> BCP 4.86 (Business Operational)"
APP_052-nonprod,APP_052,nonprod,frontend,19.66,145,0.12,False,4,4.82,Business Operational,"RTO=19.66h, RPO=145m, $impact=0.12k/hr, regulatory=False, customer_impact=4 -> BCP 4.82 (Business Operational)"
APP_053-prod,APP_053,prod,frontend,26.5,946,133.33,False,5,5.62,Business Operational,"RTO=26.5h, RPO=946m, $impact=133.33k/hr, regulatory=False, customer_impact=5 -> BCP 5.62 (Business Operational)"
APP_053-nonprod,APP_053,nonprod,frontend,68.47,311,0.12,False,6,4.7,Business Operational,"RTO=68.47h, RPO=311m, $impact=0.12k/hr, regulatory=False, customer_impact=6 -> BCP 4.7 (Business Operational)"
APP_054-prod,APP_054,prod,frontend,48.86,825,0.74,False,9,5.15,Business Operational,"RTO=48.86h, RPO=825m, $impact=0.74k/hr, regulatory=False, customer_impact=9 -> BCP 5.15 (Business Operational)"
APP_054-nonprod,APP_054,nonprod,frontend,13.75,886,98.11,True,6,6.01,Business Operational,"RTO=13.75h, RPO=886m, $impact=98.11k/hr, regulatory=True, customer_impact=6 -> BCP 6.01 (Business Operational)"
APP_055-prod,APP_055,prod,frontend,69.53,182,0.13,False,6,4.78,Business Operational,"RTO=69.53h, RPO=182m, $impact=0.13k/hr, regulatory=False, customer_impact=6 -> BCP 4.78 (Business Operational)"
APP_055-nonprod,APP_055,nonprod,frontend,69.07,589,72.45,True,5,5.48,Business Operational,"RTO=69.07h, RPO=589m, $impact=72.45k/hr, regulatory=True, customer_impact=5 -> BCP 5.48 (Business Operational)"
APP_056-prod,APP_056,prod,frontend,45.91,173,123.01,False,2,5.31,Business Operational,"RTO=45.91h, RPO=173m, $impact=123.01k/hr, regulatory=False, customer_impact=2 -> BCP 5.31 (Business Operational)"
APP_056-nonprod,APP_056,nonprod,frontend,10.47,1417,135.06,False,5,5.77,Business Operational,"RTO=10.47h, RPO=1417m, $impact=135.06k/hr, regulatory=False, customer_impact=5 -> BCP 5.77 (Business Operational)"
APP_057-prod,APP_057,prod,frontend,27.94,743,2.32,False,6,5.0,Business Operational,"RTO=27.94h, RPO=743m, $impact=2.32k/hr, regulatory=False, customer_impact=6 -> BCP 5.0 (Business Operational)"
APP_057-nonprod,APP_057,nonprod,frontend,9.39,1384,34.86,False,10,6.26,Business Operational,"RTO=9.39h, RPO=1384m, $impact=34.86k/hr, regulatory=False, customer_impact=10 -> BCP 6.26 (Business Operational)"
APP_058-prod,APP_058,prod,frontend,32.48,1064,727.6,False,5,5.92,Business Operational,"RTO=32.48h, RPO=1064m, $impact=727.6k/hr, regulatory=False, customer_impact=5 -> BCP 5.92 (Business Operational)"
APP_058-nonprod,APP_058,nonprod,frontend,39.67,711,5.52,False,6,5.07,Business Operational,"RTO=39.67h, RPO=711m, $impact=5.52k/hr, regulatory=False, customer_impact=6 -> BCP 5.07 (Business Operational)"
APP_059-prod,APP_059,prod,frontend,61.62,1201,0.22,False,5,4.35,Non-Critical,"RTO=61.62h, RPO=1201m, $impact=0.22k/hr, regulatory=False, customer_impact=5 -> BCP 4.35 (Non-Critical)"
APP_059-nonprod,APP_059,nonprod,frontend,34.53,890,3.28,True,3,4.66,Business Operational,"RTO=34.53h, RPO=890m, $impact=3.28k/hr, regulatory=True, customer_impact=3 -> BCP 4.66 (Business Operational)"
APP_060-prod,APP_060,prod,frontend,14.73,329,155.36,False,8,6.43,Business Operational,"RTO=14.73h, RPO=329m, $impact=155.36k/hr, regulatory=False, customer_impact=8 -> BCP 6.43 (Business Operational)"
APP_060-nonprod,APP_060,nonprod,frontend,51.08,419,0.11,False,7,4.87,Business Operational,"RTO=51.08h, RPO=419m, $impact=0.11k/hr, regulatory=False, customer_impact=7 -> BCP 4.87 (Business Operational)"
APP_061-prod,APP_061,prod,frontend,1.51,14,107.81,False,7,6.82,Business Critical,"RTO=1.51h, RPO=14m, $impact=107.81k/hr, regulatory=False, customer_impact=7 -> BCP 6.82 (Business Critical)"
APP_061-nonprod,APP_061,nonprod,frontend,36.36,1148,0.24,False,4,4.34,Non-Critical,"RTO=36.36h, RPO=1148m, $impact=0.24k/hr, regulatory=False, customer_impact=4 -> BCP 4.34 (Non-Critical)"
APP_062-prod,APP_062,prod,frontend,23.43,849,7.82,False,8,5.53,Business Operational,"RTO=23.43h, RPO=849m, $impact=7.82k/hr, regulatory=False, customer_impact=8 -> BCP 5.53 (Business Operational)"
APP_062-nonprod,APP_062,nonprod,frontend,54.22,496,64.78,False,3,5.11,Business Operational,"RTO=54.22h, RPO=496m, $impact=64.78k/hr, regulatory=False, customer_impact=3 -> BCP 5.11 (Business Operational)"
APP_063-prod,APP_063,prod,frontend,10.45,301,0.3,False,7,5.34,Business Operational,"RTO=10.45h, RPO=301m, $impact=0.3k/hr, regulatory=False, customer_impact=7 -> BCP 5.34 (Business Operational)"
APP_063-nonprod,APP_063,nonprod,frontend,14.96,335,8.65,False,10,6.12,Business Operational,"RTO=14.96h, RPO=335m, $impact=8.65k/hr, regulatory=False, customer_impact=10 -> BCP 6.12 (Business Operational)"
