source,target,source_type,target_type,dependency_type,data_flow_score,weight
APP_007-prod,DB-P071,application,database,asynchronous,3,4.482
APP_007-prod,SRV-P042,application,server,fallback,1,3.682
APP_007-nonprod,SRV-N163,application,server,synchronous,5,4.874
APP_007-nonprod,SRV-N024,application,server,batch,4,3.874
APP_007-nonprod,DB-N056,application,database,synchronous,2,4.574
APP_007-nonprod,APP_115-nonprod,application,application,asynchronous,4,4.174
APP_007-nonprod,APP_021-nonprod,application,application,batch,5,3.974
APP_007-nonprod,SRV-N103,application,server,fallback,1,3.274
APP_008-prod,SRV-P168,application,server,asynchronous,3,3.63
APP_008-prod,SRV-P183,application,server,informational,3,3.03
APP_008-prod,SRV-P015,application,server,informational,5,3.23
APP_008-prod,APP_226-prod,application,application,synchronous,5,4.43
APP_008-prod,APP_266-nonprod,application,application,near-real-time,10,4.63
APP_008-prod,APP_018-nonprod,application,application,batch,1,3.13
APP_008-prod,SRV-P131,application,server,fallback,1,2.83
APP_008-nonprod,SRV-N179,application,server,near-real-time,7,4.546
APP_008-nonprod,SRV-N044,application,server,asynchronous,7,4.246
APP_008-nonprod,SRV-N093,application,server,near-real-time,1,3.946
APP_008-nonprod,APP_046-nonprod,application,application,informational,4,3.346
APP_008-nonprod,SRV-N200,application,server,fallback,1,3.046
APP_009-prod,SRV-P091,application,server,asynchronous,4,4.684
APP_009-prod,SRV-P104,application,server,asynchronous,2,4.484
APP_009-prod,DB-P002,application,database,batch,2,4.184
APP_009-prod,DB-P009,application,database,informational,1,3.784
APP_009-prod,APP_147-prod,application,application,batch,10,4.984
APP_009-prod,APP_287-nonprod,application,application,informational,8,4.484
APP_009-prod,APP_179-nonprod,application,application,near-real-time,9,5.484
APP_009-prod,APP_143-prod,application,application,near-real-time,8,5.384
APP_009-prod,SRV-P050,application,server,fallback,1,3.784
APP_009-nonprod,SRV-N104,application,server,asynchronous,2,3.914
APP_009-nonprod,SRV-N067,application,server,synchronous,3,4.614
APP_009-nonprod,DB-N014,application,database,asynchronous,4,4.114
APP_009-nonprod,DB-N065,application,database,near-real-time,1,4.114
APP_009-nonprod,SRV-N132,application,server,fallback,1,3.214
APP_010-prod,SRV-P138,application,server,batch,6,4.056
APP_010-prod,SRV-P148,application,server,near-real-time,4,4.456
APP_010-prod,DB-P049,application,database,asynchronous,3,4.056
APP_010-prod,APP_175-prod,application,application,informational,8,3.956
APP_010-prod,SRV-P118,application,server,fallback,1,3.256
APP_010-nonprod,SRV-N118,application,server,batch,5,4.394
APP_010-nonprod,SRV-N008,application,server,asynchronous,4,4.594
APP_010-nonprod,SRV-N067,application,server,synchronous,7,5.494
APP_010-nonprod,DB-N029,application,database,asynchronous,1,4.294
APP_010-nonprod,DB-N030,application,database,batch,5,4.394
APP_010-nonprod,APP_182-nonprod,application,application,asynchronous,7,4.894
APP_010-nonprod,APP_005-nonprod,application,application,batch,5,4.394
APP_010-nonprod,APP_136-nonprod,application,application,near-real-time,6,5.094
APP_010-nonprod,SRV-N024,application,server,fallback,1,3.694
APP_011-prod,SRV-P173,application,server,batch,2,4.724
APP_011-prod,SRV-P088,application,server,synchronous,6,6.024
APP_011-prod,APP_162-prod,application,application,asynchronous,5,5.324
APP_011-prod,APP_295-prod,application,application,near-real-time,4,5.524
APP_011-prod,APP_098-nonprod,application,application,asynchronous,9,5.724
APP_011-prod,SRV-P052,application,server,fallback,1,4.324
APP_011-nonprod,SRV-N189,application,server,near-real-time,3,4.68
APP_011-nonprod,DB-N027,application,database,near-real-time,1,4.48
APP_011-nonprod,APP_184-nonprod,application,application,near-real-time,1,4.48
APP_011-nonprod,SRV-N028,application,server,fallback,1,3.58
APP_012-prod,SRV-P021,application,server,asynchronous,6,4.446
APP_012-prod,DB-P064,application,database,asynchronous,1,3.946
APP_012-prod,DB-P070,application,database,informational,7,3.946
APP_012-prod,APP_191-nonprod,application,application,asynchronous,1,3.946
APP_012-prod,APP_253-nonprod,application,application,batch,10,4.546
APP_012-prod,APP_295-nonprod,application,application,batch,6,4.146
APP_012-prod,SRV-P126,application,server,fallback,1,3.346
APP_012-nonprod,SRV-N196,application,server,informational,4,3.712
APP_012-nonprod,DB-N051,application,database,near-real-time,2,4.412
APP_012-nonprod,APP_067-nonprod,application,application,synchronous,7,5.212
APP_012-nonprod,APP_218-nonprod,application,application,asynchronous,5,4.412
APP_012-nonprod,APP_278-nonprod,application,application,synchronous,9,5.412
APP_012-nonprod,APP_179-nonprod,application,application,asynchronous,6,4.512
APP_012-nonprod,SRV-N176,application,server,fallback,1,3.412
APP_013-prod,SRV-P118,application,server,informational,5,3.794
APP_013-prod,DB-P067,application,database,asynchronous,3,4.194
APP_013-prod,DB-P002,application,database,synchronous,3,4.794
APP_013-prod,APP_195-nonprod,application,application,asynchronous,6,4.494
APP_013-prod,SRV-P084,application,server,fallback,1,3.394
APP_013-nonprod,SRV-N157,application,server,batch,1,4.516
APP_013-nonprod,SRV-N048,application,server,asynchronous,2,4.916
APP_013-nonprod,APP_243-nonprod,application,application,informational,8,4.916
APP_013-nonprod,APP_177-nonprod,application,application,asynchronous,6,5.316
APP_013-nonprod,SRV-N128,application,server,fallback,1,4.216
APP_014-prod,SRV-P054,application,server,asynchronous,4,4.942
APP_014-prod,SRV-P193,application,server,asynchronous,5,5.042
APP_014-prod,DB-P036,application,database,asynchronous,4,4.942
APP_014-prod,APP_068-nonprod,application,application,informational,4,4.342
APP_014-prod,APP_118-nonprod,application,application,batch,3,4.542
APP_014-prod,APP_139-nonprod,application,application,batch,6,4.842
APP_014-prod,APP_285-nonprod,application,application,asynchronous,3,4.842
APP_014-prod,SRV-P098,application,server,fallback,1,4.042
APP_014-nonprod,SRV-N038,application,server,batch,5,4.796
APP_014-nonprod,DB-N020,application,database,asynchronous,1,4.696
APP_014-nonprod,DB-N002,application,database,near-real-time,6,5.496
APP_014-nonprod,APP_070-nonprod,application,application,informational,7,4.696
APP_014-nonprod,APP_266-nonprod,application,application,asynchronous,6,5.196
APP_014-nonprod,APP_163-nonprod,application,application,batch,8,5.096
APP_014-nonprod,SRV-N077,application,server,fallback,1,4.096
APP_015-prod,SRV-P144,application,server,batch,8,4.826
APP_015-prod,SRV-P013,application,server,asynchronous,7,5.026
APP_015-prod,DB-P021,application,database,synchronous,1,5.026
APP_015-prod,DB-P033,application,database,asynchronous,1,4.426
APP_015-prod,SRV-P116,application,server,fallback,1,3.826
APP_015-nonprod,SRV-N086,application,server,near-real-time,3,4.23
APP_015-nonprod,SRV-N093,application,server,asynchronous,5,4.13
APP_015-nonprod,SRV-N066,application,server,near-real-time,6,4.53
APP_015-nonprod,DB-N016,application,database,asynchronous,2,3.83
APP_015-nonprod,APP_103-nonprod,application,application,asynchronous,6,4.23
APP_015-nonprod,APP_277-nonprod,application,application,near-real-time,3,4.23
APP_015-nonprod,APP_147-nonprod,application,application,asynchronous,4,4.03
APP_015-nonprod,APP_263-nonprod,application,application,asynchronous,1,3.73
APP_015-nonprod,SRV-N189,application,server,fallback,1,3.13
APP_016-prod,SRV-P021,application,server,asynchronous,3,4.212
APP_016-prod,SRV-P074,application,server,asynchronous,2,4.112
APP_016-prod,APP_174-prod,application,application,asynchronous,3,4.212
APP_016-prod,SRV-P157,application,server,fallback,1,3.412
APP_016-nonprod,SRV-N104,application,server,batch,7,4.486
APP_016-nonprod,SRV-N019,application,server,synchronous,3,4.986
APP_016-nonprod,SRV-N088,application,server,near-real-time,10,5.386
APP_016-nonprod,DB-N038,application,database,batch,4,4.186
APP_016-nonprod,APP_204-nonprod,application,application,near-real-time,6,4.986
APP_016-nonprod,APP_229-nonprod,application,application,batch,3,4.086
APP_016-nonprod,APP_187-nonprod,application,application,batch,8,4.586
APP_016-nonprod,APP_268-nonprod,application,application,informational,4,3.886
APP_016-nonprod,SRV-N106,application,server,fallback,1,3.586
APP_017-prod,SRV-P048,application,server,batch,5,5.186
APP_017-prod,APP_130-prod,application,application,informational,10,5.386
APP_017-prod,SRV-P180,application,server,fallback,1,4.486
APP_017-nonprod,SRV-N021,application,server,near-real-time,4,4.87
APP_017-nonprod,SRV-N102,application,server,synchronous,7,5.47
APP_017-nonprod,SRV-N017,application,server,informational,3,3.87
APP_017-nonprod,DB-N071,application,database,synchronous,3,5.07
APP_017-nonprod,APP_270-nonprod,application,application,batch,10,4.87
APP_017-nonprod,APP_044-nonprod,application,application,synchronous,4,5.17
APP_017-nonprod,APP_081-nonprod,application,application,synchronous,10,5.77
APP_017-nonprod,SRV-N100,application,server,fallback,1,3.67
APP_018-prod,SRV-P059,application,server,near-real-time,6,5.322
APP_018-prod,SRV-P073,application,server,asynchronous,3,4.722
APP_018-prod,APP_271-prod,application,application,batch,7,4.822
APP_018-prod,SRV-P008,application,server,fallback,1,3.922
APP_018-nonprod,SRV-N170,application,server,asynchronous,6,4.488
APP_018-nonprod,DB-N061,application,database,asynchronous,5,4.388
APP_018-nonprod,APP_141-nonprod,application,application,asynchronous,1,3.988
APP_018-nonprod,APP_071-nonprod,application,application,informational,3,3.588
APP_018-nonprod,APP_278-nonprod,application,application,near-real-time,5,4.688
APP_018-nonprod,APP_235-nonprod,application,application,asynchronous,5,4.388
APP_018-nonprod,SRV-N163,application,server,fallback,1,3.388
APP_019-prod,SRV-P112,application,server,asynchronous,6,4.218
APP_019-prod,SRV-P164,application,server,asynchronous,5,4.118
APP_019-prod,SRV-P089,application,server,asynchronous,2,3.818
APP_019-prod,SRV-P114,application,server,fallback,1,3.118
APP_019-nonprod,SRV-N094,application,server,asynchronous,5,3.896
APP_019-nonprod,SRV-N040,application,server,near-real-time,6,4.296
APP_019-nonprod,APP_071-nonprod,application,application,near-real-time,7,4.396
APP_019-nonprod,APP_242-nonprod,application,application,asynchronous,9,4.296
APP_019-nonprod,APP_253-nonprod,application,application,informational,8,3.596
APP_019-nonprod,APP_246-nonprod,application,application,near-real-time,7,4.396
APP_019-nonprod,SRV-N197,application,server,fallback,1,2.896
APP_020-prod,SRV-P075,application,server,asynchronous,4,4.792
APP_020-prod,SRV-P002,application,server,asynchronous,1,4.492
APP_020-prod,APP_288-nonprod,application,application,asynchronous,7,5.092
APP_020-prod,APP_129-prod,application,application,near-real-time,6,5.292
APP_020-prod,APP_201-prod,application,application,batch,6,4.692
APP_020-prod,SRV-P057,application,server,fallback,1,3.892
APP_020-nonprod,SRV-N021,application,server,asynchronous,2,4.982
APP_020-nonprod,SRV-N062,application,server,asynchronous,2,4.982
APP_020-nonprod,DB-N035,application,database,near-real-time,6,5.682
APP_020-nonprod,DB-N069,application,database,batch,3,4.782
APP_020-nonprod,APP_098-nonprod,application,application,batch,8,5.282
APP_020-nonprod,APP_095-nonprod,application,application,synchronous,6,5.982
APP_020-nonprod,APP_058-nonprod,application,application,asynchronous,6,5.382
APP_020-nonprod,SRV-N159,application,server,fallback,1,4.282
APP_021-prod,SRV-P070,application,server,batch,6,3.996
APP_021-prod,SRV-P126,application,server,synchronous,3,4.596
APP_021-prod,APP_026-nonprod,application,application,informational,6,3.696
APP_021-prod,SRV-P006,application,server,fallback,1,3.196
APP_021-nonprod,SRV-N027,application,server,near-real-time,4,4.81
APP_021-nonprod,APP_005-nonprod,application,application,near-real-time,4,4.81
APP_021-nonprod,APP_079-nonprod,application,application,synchronous,5,5.21
APP_021-nonprod,APP_113-nonprod,application,application,near-real-time,6,5.01
APP_021-nonprod,SRV-N080,application,server,fallback,1,3.61
APP_022-prod,SRV-P096,application,server,asynchronous,4,4.192
APP_022-prod,SRV-P009,application,server,near-real-time,7,4.792
APP_022-prod,SRV-P069,application,server,fallback,1,3.292
APP_022-nonprod,SRV-N019,application,server,asynchronous,3,3.906
APP_022-nonprod,SRV-N047,application,server,synchronous,4,4.606
APP_022-nonprod,DB-N049,application,database,batch,3,3.606
APP_022-nonprod,SRV-N197,application,server,fallback,1,3.106
APP_023-prod,SRV-P064,application,server,asynchronous,7,4.786
APP_023-prod,SRV-P114,application,server,near-real-time,5,4.886
APP_023-prod,SRV-P009,application,server,synchronous,7,5.386
APP_023-prod,DB-P013,application,database,asynchronous,1,4.186
APP_023-prod,DB-P027,application,database,asynchronous,4,4.486
APP_023-prod,APP_166-nonprod,application,application,near-real-time,8,5.186
APP_023-prod,APP_022-nonprod,application,application,batch,6,4.386
APP_023-prod,SRV-P141,application,server,fallback,1,3.586
APP_023-nonprod,SRV-N032,application,server,near-real-time,7,4.51
APP_023-nonprod,SRV-N164,application,server,near-real-time,3,4.11
APP_023-nonprod,SRV-N093,application,server,batch,7,3.91
APP_023-nonprod,DB-N028,application,database,informational,8,3.71
APP_023-nonprod,DB-N031,application,database,asynchronous,3,3.81
APP_023-nonprod,APP_008-nonprod,application,application,near-real-time,4,4.21
APP_023-nonprod,APP_143-nonprod,application,application,asynchronous,10,4.51
APP_023-nonprod,SRV-N102,application,server,fallback,1,3.01
APP_024-prod,SRV-P003,application,server,informational,8,4.91
APP_024-prod,DB-P061,application,database,asynchronous,2,4.91
APP_024-prod,DB-P020,application,database,asynchronous,3,5.01
APP_024-prod,SRV-P064,application,server,fallback,1,4.21
APP_024-nonprod,SRV-N128,application,server,synchronous,4,5.296
APP_024-nonprod,DB-N044,application,database,informational,1,3.796
APP_024-nonprod,DB-N008,application,database,synchronous,2,5.096
APP_024-nonprod,APP_276-nonprod,application,application,batch,2,4.196
APP_024-nonprod,SRV-N033,application,server,fallback,1,3.796
APP_025-prod,SRV-P060,application,server,near-real-time,3,5.1
APP_025-prod,SRV-P143,application,server,batch,4,4.6
APP_025-prod,DB-P057,application,database,batch,4,4.6
APP_025-prod,SRV-P177,application,server,fallback,1,4.0
APP_025-nonprod,SRV-N092,application,server,batch,8,4.478
APP_025-nonprod,SRV-N065,application,server,batch,3,3.978
APP_025-nonprod,DB-N057,application,database,asynchronous,5,4.478
APP_025-nonprod,APP_252-nonprod,application,application,near-real-time,5,4.778
APP_025-nonprod,APP_097-nonprod,application,application,asynchronous,5,4.478
APP_025-nonprod,APP_167-nonprod,application,application,batch,8,4.478
APP_025-nonprod,APP_142-nonprod,application,application,batch,2,3.878
APP_025-nonprod,SRV-N154,application,server,fallback,1,3.478
APP_026-prod,SRV-P042,application,server,synchronous,5,5.186
APP_026-prod,SRV-P040,application,server,asynchronous,5,4.586
APP_026-prod,SRV-P068,application,server,asynchronous,5,4.586
APP_026-prod,DB-P001,application,database,batch,4,4.186
APP_026-prod,APP_195-nonprod,application,application,batch,10,4.786
APP_026-prod,APP_010-nonprod,application,application,asynchronous,4,4.486
APP_026-prod,APP_187-nonprod,application,application,batch,4,4.186
APP_026-prod,APP_123-nonprod,application,application,near-real-time,4,4.786
APP_026-prod,SRV-P017,application,server,fallback,1,3.586
APP_026-nonprod,SRV-N138,application,server,batch,3,4.032
APP_026-nonprod,SRV-N049,application,server,asynchronous,3,4.332
APP_026-nonprod,SRV-N128,application,server,batch,7,4.432
APP_026-nonprod,APP_146-nonprod,application,application,near-real-time,10,5.332
APP_026-nonprod,APP_166-nonprod,application,application,synchronous,4,5.032
APP_026-nonprod,APP_269-nonprod,application,application,asynchronous,3,4.332
APP_026-nonprod,APP_023-nonprod,application,application,batch,7,4.432
APP_026-nonprod,SRV-N034,application,server,fallback,1,3.532
APP_027-prod,SRV-P009,application,server,near-real-time,3,4.122
APP_027-prod,DB-P025,application,database,synchronous,5,4.622
APP_027-prod,APP_200-prod,application,application,asynchronous,6,4.122
APP_027-prod,APP_270-nonprod,application,application,asynchronous,1,3.622
APP_027-prod,APP_132-nonprod,application,application,synchronous,10,5.122
APP_027-prod,APP_114-nonprod,application,application,asynchronous,10,4.522
APP_027-prod,SRV-P019,application,server,fallback,1,3.022
APP_027-nonprod,SRV-N054,application,server,asynchronous,3,4.56
APP_027-nonprod,APP_033-nonprod,application,application,asynchronous,4,4.66
APP_027-nonprod,APP_214-nonprod,application,application,batch,6,4.56
APP_027-nonprod,APP_031-nonprod,application,application,batch,7,4.66
APP_027-nonprod,SRV-N069,application,server,fallback,1,3.76
APP_028-prod,SRV-P011,application,server,batch,6,5.13
APP_028-prod,SRV-P078,application,server,synchronous,9,6.33
APP_028-prod,SRV-P056,application,server,informational,4,4.63
APP_028-prod,SRV-P186,application,server,fallback,1,4.33
APP_028-nonprod,SRV-N137,application,server,asynchronous,3,4.38
APP_028-nonprod,APP_129-nonprod,application,application,asynchronous,1,4.18
APP_028-nonprod,APP_093-nonprod,application,application,asynchronous,3,4.38
APP_028-nonprod,APP_287-nonprod,application,application,asynchronous,5,4.58
APP_028-nonprod,APP_056-nonprod,application,application,batch,10,4.78
APP_028-nonprod,SRV-N148,application,server,fallback,1,3.58
APP_029-prod,SRV-P173,application,server,asynchronous,3,4.014
APP_029-prod,SRV-P171,application,server,asynchronous,5,4.214
APP_029-prod,APP_093-nonprod,application,application,asynchronous,5,4.214
APP_029-prod,SRV-P130,application,server,fallback,1,3.214
APP_029-nonprod,SRV-N169,application,server,synchronous,7,5.224
APP_029-nonprod,SRV-N154,application,server,asynchronous,10,4.924
APP_029-nonprod,DB-N041,application,database,asynchronous,2,4.124
APP_029-nonprod,APP_192-nonprod,application,application,asynchronous,4,4.324
APP_029-nonprod,APP_222-nonprod,application,application,batch,9,4.524
APP_029-nonprod,SRV-N083,application,server,fallback,1,3.424
APP_030-prod,SRV-P062,application,server,asynchronous,6,4.986
APP_030-prod,SRV-P055,application,server,asynchronous,8,5.186
APP_030-prod,SRV-P141,application,server,informational,6,4.386
APP_030-prod,DB-P047,application,database,informational,3,4.086
APP_030-prod,APP_204-nonprod,application,application,synchronous,7,5.686
APP_030-prod,APP_018-nonprod,application,application,informational,9,4.686
APP_030-prod,APP_009-prod,application,application,asynchronous,8,5.186
APP_030-prod,SRV-P078,application,server,fallback,1,3.886
APP_030-nonprod,SRV-N077,application,server,informational,6,4.032
APP_030-nonprod,APP_012-nonprod,application,application,batch,9,4.632
APP_030-nonprod,APP_143-nonprod,application,application,informational,9,4.332
APP_030-nonprod,SRV-N131,application,server,fallback,1,3.532
APP_031-prod,SRV-P147,application,server,informational,7,4.132
APP_031-prod,SRV-P040,application,server,synchronous,6,5.232
APP_031-prod,SRV-P118,application,server,asynchronous,4,4.432
APP_031-prod,APP_189-prod,application,application,batch,6,4.332
APP_031-prod,APP_129-prod,application,application,near-real-time,9,5.232
APP_031-prod,SRV-P077,application,server,fallback,1,3.532
APP_031-nonprod,SRV-N147,application,server,asynchronous,3,4.572
APP_031-nonprod,SRV-N186,application,server,fallback,1,3.772
APP_032-prod,SRV-P124,application,server,synchronous,5,4.748
APP_032-prod,SRV-P177,application,server,batch,4,3.748
APP_032-prod,APP_155-prod,application,application,synchronous,6,4.848
APP_032-prod,APP_296-nonprod,application,application,asynchronous,9,4.548
APP_032-prod,APP_029-nonprod,application,application,informational,6,3.648
APP_032-prod,APP_172-nonprod,application,application,near-real-time,6,4.548
APP_032-prod,SRV-P112,application,server,fallback,1,3.148
APP_032-nonprod,SRV-N031,application,server,batch,2,3.386
APP_032-nonprod,SRV-N059,application,server,batch,6,3.786
APP_032-nonprod,DB-N002,application,database,asynchronous,5,3.986
APP_032-nonprod,DB-N049,application,database,synchronous,8,4.886
APP_032-nonprod,APP_022-nonprod,application,application,near-real-time,5,4.286
APP_032-nonprod,APP_291-nonprod,application,application,synchronous,6,4.686
APP_032-nonprod,APP_259-nonprod,application,application,asynchronous,6,4.086
APP_032-nonprod,APP_080-nonprod,application,application,synchronous,10,5.086
APP_032-nonprod,SRV-N188,application,server,fallback,1,2.986
APP_033-prod,SRV-P115,application,server,batch,4,4.588
APP_033-prod,SRV-P148,application,server,asynchronous,5,4.988
APP_033-prod,APP_149-nonprod,application,application,batch,7,4.888
APP_033-prod,APP_077-prod,application,application,synchronous,6,5.688
APP_033-prod,APP_043-nonprod,application,application,asynchronous,4,4.888
APP_033-prod,SRV-P191,application,server,fallback,1,3.988
APP_033-nonprod,SRV-N141,application,server,asynchronous,5,5.036
APP_033-nonprod,APP_258-nonprod,application,application,asynchronous,9,5.436
APP_033-nonprod,APP_068-nonprod,application,application,batch,2,4.436
APP_033-nonprod,APP_248-nonprod,application,application,asynchronous,6,5.136
APP_033-nonprod,SRV-N125,application,server,fallback,1,4.036
APP_034-prod,SRV-P167,application,server,asynchronous,3,3.978
APP_034-prod,SRV-P144,application,server,asynchronous,7,4.378
APP_034-prod,DB-P068,application,database,near-real-time,1,4.078
APP_034-prod,DB-P010,application,database,near-real-time,2,4.178
APP_034-prod,APP_167-prod,application,application,asynchronous,7,4.378
APP_034-prod,APP_296-prod,application,application,synchronous,10,5.278
APP_034-prod,APP_213-prod,application,application,asynchronous,5,4.178
APP_034-prod,SRV-P090,application,server,fallback,1,3.178
APP_034-nonprod,SRV-N083,application,server,near-real-time,3,4.806
APP_034-nonprod,DB-N004,application,database,batch,7,4.606
APP_034-nonprod,DB-N022,application,database,informational,1,3.706
APP_034-nonprod,APP_228-nonprod,application,application,asynchronous,1,4.306
APP_034-nonprod,APP_227-nonprod,application,application,synchronous,7,5.506
APP_034-nonprod,APP_121-nonprod,application,application,near-real-time,4,4.906
APP_034-nonprod,APP_193-nonprod,application,application,near-real-time,2,4.706
APP_034-nonprod,SRV-N187,application,server,fallback,1,3.706
APP_035-prod,SRV-P029,application,server,batch,6,4.362
APP_035-prod,APP_077-prod,application,application,batch,6,4.362
APP_035-prod,APP_148-nonprod,application,application,synchronous,4,5.062
APP_035-prod,APP_058-prod,application,application,near-real-time,2,4.562
APP_035-prod,APP_242-nonprod,application,application,synchronous,8,5.462
APP_035-prod,SRV-P054,application,server,fallback,1,3.562
APP_035-nonprod,SRV-N138,application,server,near-real-time,6,4.866
APP_035-nonprod,SRV-N140,application,server,asynchronous,4,4.366
APP_035-nonprod,SRV-N067,application,server,asynchronous,8,4.766
APP_035-nonprod,DB-N019,application,database,asynchronous,1,4.066
APP_035-nonprod,DB-N003,application,database,asynchronous,1,4.066
APP_035-nonprod,APP_023-nonprod,application,application,near-real-time,3,4.566
APP_035-nonprod,APP_031-nonprod,application,application,near-real-time,5,4.766
APP_035-nonprod,APP_140-nonprod,application,application,synchronous,6,5.166
APP_035-nonprod,APP_005-nonprod,application,application,synchronous,5,5.066
APP_035-nonprod,SRV-N170,application,server,fallback,1,3.466
APP_036-prod,SRV-P170,application,server,batch,5,3.86
APP_036-prod,SRV-P169,application,server,asynchronous,2,3.86
APP_036-prod,SRV-P075,application,server,fallback,1,3.16
APP_036-nonprod,SRV-N099,application,server,near-real-time,7,4.978
APP_036-nonprod,SRV-N098,application,server,asynchronous,4,4.378
APP_036-nonprod,SRV-N182,application,server,synchronous,7,5.278
APP_036-nonprod,DB-N063,application,database,batch,4,4.078
APP_036-nonprod,APP_047-nonprod,application,application,near-real-time,7,4.978
APP_036-nonprod,APP_258-nonprod,application,application,informational,7,4.078
APP_036-nonprod,APP_289-nonprod,application,application,informational,7,4.078
APP_036-nonprod,APP_012-nonprod,application,application,synchronous,7,5.278
APP_036-nonprod,SRV-N136,application,server,fallback,1,3.478
APP_037-prod,SRV-P086,application,server,asynchronous,7,4.684
APP_037-prod,SRV-P191,application,server,synchronous,5,5.084
APP_037-prod,DB-P046,application,database,asynchronous,5,4.484
APP_037-prod,APP_122-prod,application,application,informational,5,3.884
APP_037-prod,APP_258-prod,application,application,near-real-time,10,5.284
APP_037-prod,SRV-P016,application,server,fallback,1,3.484
